Time (ms), Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7, Channel 8, Channel 9, Channel 10, Channel 11, Channel 12, Channel 13, Channel 14, Channel 15, Channel 16, Channel 17, Channel 18, Channel 19, Channel 20, Channel 21, Channel 22, Channel 23, Channel 24, Channel 25, Channel 26, Channel 27, Channel 28, Channel 29, Channel 30, Channel 31, Channel 32, Channel 33, Channel 34, Channel 35, Channel 36, Channel 37, Channel 38, Channel 39, Channel 40, Channel 41, Channel 42, Channel 43, Channel 44, Channel 45, Channel 46, Channel 47, Channel 48, Channel 49, Channel 50, Channel 51, Channel 52, Channel 53, Channel 54, Channel 55, Channel 56, Channel 57, Channel 58, Channel 59, Channel 60, Channel 61, Channel 62, Channel 63, Channel 64, Channel 65, Channel 66, Channel 67, Channel 68, Channel 69, Channel 70, Channel 71, Channel 72, Channel 73, Channel 74, Channel 75, Channel 76, Channel 77, Channel 78, Channel 79, Channel 80, Channel 81, Channel 82, Channel 83, Channel 84, Channel 85, Channel 86, Channel 87, Channel 88, Channel 89, Channel 90, Channel 91, Channel 92, Channel 93, Channel 94, Channel 95, Channel 96, Channel 97, Channel 98, Channel 99, Channel 100, Channel 101, Channel 102, Channel 103, Channel 104, Channel 105, Channel 106, Channel 107, Channel 108, Channel 109, Channel 110, Channel 111, Channel 112, Channel 113, Channel 114, Channel 115, Channel 116, Channel 117, Channel 118, Channel 119, Channel 120, Channel 121, Channel 122, Channel 123, Channel 124, Channel 125, Channel 126, Channel 127
15011, 1614, 1586, 2263, 2291, 2241, 1636, 1052, 1721, 1766, 1703, 1648, 1638, 1646, 1664, 1157, 1188, 1767, 1763, 1763, 1712, 1607, 1607, 1628, 1664, 1637, 1059, 1583, 2235, 2225, 2295, 2314, 1681, 1696, 1696, 1633, 1642, 1591, 1591, 1664, 1692, 2343, 2343, 2274, 2298, 1666, 1066, 1042, 1052, 995, 1667, 1640, 1640, 1682, 1724, 1748, 1748, 2399, 2447, 2385, 2331, 2307, 2307, 2339, 2299, 2284, 1706, 2229, 2280, 2235, 1632, 1631, 1742, 1742, 1701, 1572, 1552, 1552, 1594, 2175, 2224, 2261, 2233, 2211, 1025, 1025, 1514, 1566, 1518, 1518, 1518, 1560, 1564, 2146, 1576, 1562, 1622, 1075, 1052, 1052, 1678, 1678, 1599, 1631, 1616, 1078, 1666, 2282, 2282, 2328, 2280, 1565, 1555, 1555, 1555, 1537, 1552, 2133, 2133, 2212, 2261, 2282, 1659, 1117, 1025, 1514, 1525, 1492, 1518
16058, 978, 961, 1368, 1383, 1354, 990, 640, 1043, 1069, 1031, 997, 991, 996, 1008, 702, 722, 1070, 1067, 1067, 1037, 973, 973, 987, 1008, 991, 642, 960, 1352, 1344, 1386, 1398, 1019, 1026, 1026, 989, 993, 962, 962, 1008, 1023, 1417, 1417, 1375, 1389, 1009, 648, 633, 640, 604, 1010, 992, 992, 1020, 1044, 1058, 1058, 1449, 1478, 1442, 1409, 1395, 1395, 1413, 1390, 1381, 1032, 1348, 1378, 1352, 989, 989, 1053, 1053, 1029, 953, 939, 939, 964, 1316, 1343, 1367, 1351, 1337, 621, 621, 918, 950, 921, 921, 921, 945, 948, 1298, 956, 947, 983, 653, 640, 640, 1017, 1017, 968, 989, 980, 656, 1009, 1380, 1380, 1406, 1378, 949, 941, 941, 941, 931, 939, 1291, 1291, 1338, 1367, 1380, 1005, 679, 621, 918, 925, 902, 921
17104, 594, 584, 829, 840, 820, 601, 391, 634, 650, 626, 605, 602, 604, 613, 428, 440, 650, 649, 649, 630, 592, 592, 600, 613, 602, 392, 583, 820, 815, 841, 847, 620, 622, 622, 601, 602, 584, 584, 613, 621, 859, 859, 835, 843, 613, 396, 387, 391, 370, 614, 602, 602, 620, 635, 641, 641, 876, 897, 873, 852, 846, 846, 856, 844, 838, 627, 818, 837, 820, 601, 601, 640, 640, 624, 580, 571, 571, 586, 796, 815, 828, 820, 811, 379, 379, 558, 578, 560, 560, 560, 575, 576, 788, 582, 576, 598, 399, 391, 391, 619, 619, 589, 601, 596, 400, 613, 837, 837, 850, 837, 577, 573, 573, 573, 566, 571, 783, 783, 812, 828, 837, 611, 414, 379, 558, 563, 549, 560
18107, 1305, 2289, 2442, 1519, 3121, 2984, 2853, 3005, 1178, 1165, 1150, 379, 381, 1131, 1919, 1924, 2056, 1154, 1154, 1142, 1119, 2799, 2060, 2068, 1101, 971, 1088, 1237, 1233, 1250, 1254, 1906, 1185, 1185, 1871, 2009, 1997, 2988, 3007, 3011, 2461, 540, 1516, 1298, 1156, 1021, 1015, 1018, 1005, 387, 379, 379, 1292, 2046, 2049, 1148, 1295, 2268, 2253, 3059, 2236, 1253, 1259, 1252, 1247, 1116, 1235, 1246, 1237, 1101, 1892, 1196, 2824, 3014, 2986, 2981, 1990, 1999, 2130, 1211, 1219, 1214, 1278, 1011, 1011, 1121, 1134, 354, 354, 1255, 1265, 1265, 2356, 2072, 2069, 2081, 2777, 2772, 1953, 1135, 1135, 372, 1101, 1098, 976, 1108, 1246, 1246, 2247, 3961, 4499, 1991, 1991, 1991, 1985, 1990, 2122, 1192, 1209, 1219, 1993, 1155, 1032, 1011, 1799, 1032, 1023, 1255
19125, 818, 1426, 1522, 950, 1946, 1860, 1776, 1872, 739, 728, 721, 241, 243, 707, 1198, 1201, 1283, 723, 723, 716, 702, 1745, 1285, 1291, 690, 610, 682, 772, 772, 782, 786, 1191, 743, 743, 1169, 1254, 1245, 1862, 1873, 1876, 1536, 341, 948, 813, 724, 640, 637, 638, 630, 246, 241, 241, 809, 1277, 1278, 720, 811, 1415, 1404, 1907, 1395, 785, 789, 784, 781, 700, 772, 780, 772, 690, 1181, 748, 1760, 1878, 1861, 1858, 1241, 1247, 1329, 758, 764, 761, 798, 634, 634, 702, 710, 226, 226, 786, 793, 793, 1470, 1294, 1292, 1298, 1731, 1727, 1219, 711, 711, 237, 690, 687, 612, 694, 780, 780, 1401, 2465, 2800, 1242, 1242, 1242, 1239, 1241, 1324, 747, 757, 764, 1244, 724, 647, 634, 1122, 647, 641, 786
20172, 1445, 788, 841, 2480, 3026, 2976, 2933, 2984, 2364, 2358, 2354, 2092, 2093, 2347, 2614, 2615, 1731, 403, 403, 399, 1351, 1922, 1670, 1674, 1345, 2173, 2212, 2262, 2262, 2269, 1397, 1619, 1372, 412, 1637, 1685, 2580, 2917, 2924, 2925, 2739, 2085, 2418, 2344, 2294, 2249, 1346, 1347, 1343, 1133, 139, 139, 451, 2657, 2658, 2353, 2404, 2734, 2727, 3849, 3569, 2390, 2391, 1460, 1458, 1413, 429, 1395, 1389, 1345, 2487, 2249, 2802, 2867, 2857, 2854, 2518, 1650, 1694, 1383, 1385, 1384, 1403, 354, 354, 2283, 2288, 2023, 2023, 2329, 2332, 2332, 1803, 1707, 1705, 1709, 1946, 953, 675, 1326, 2349, 2090, 2338, 3183, 3141, 3186, 3233, 2387, 3570, 3308, 3493, 2638, 1615, 1615, 683, 684, 730, 1375, 1382, 2258, 2520, 2235, 2194, 2187, 2454, 1322, 1317, 1397
21184, 796, 438, 466, 1363, 1664, 3069, 3046, 3074, 2733, 2733, 2731, 2586, 2587, 1292, 1438, 1438, 955, 227, 227, 225, 747, 1694, 2903, 2905, 2724, 4024, 3200, 2591, 2591, 1828, 1351, 1470, 757, 233, 902, 930, 2212, 2992, 2997, 2998, 2896, 2537, 2721, 2678, 2650, 2626, 744, 745, 743, 626, 84, 699, 871, 2077, 2077, 1911, 2758, 2939, 3678, 2730, 2574, 1315, 1316, 806, 805, 780, 241, 1540, 2113, 2088, 2714, 3219, 3522, 4402, 3551, 2914, 2732, 2257, 1513, 765, 766, 766, 773, 201, 796, 1854, 1855, 2504, 2504, 2672, 2673, 2673, 1590, 1537, 939, 941, 1073, 528, 376, 732, 1293, 1893, 3466, 3928, 3904, 3929, 3135, 3492, 1959, 1815, 1918, 1449, 892, 892, 380, 381, 407, 1338, 2108, 2589, 2733, 2576, 2553, 2549, 2697, 1309, 1305, 771
22195, 442, 247, 262, 751, 918, 1688, 1673, 1688, 1502, 1502, 1501, 1422, 1423, 714, 795, 795, 529, 131, 131, 130, 415, 932, 1594, 1595, 1495, 2209, 1758, 1425, 1425, 1008, 747, 812, 422, 135, 500, 515, 1218, 1643, 1645, 1646, 1591, 1395, 1494, 1471, 1457, 1443, 413, 414, 412, 350, 54, 389, 483, 1144, 1144, 1052, 1517, 1615, 2018, 1500, 1416, 725, 725, 449, 448, 434, 139, 847, 1163, 1148, 1492, 1769, 1933, 2414, 1951, 1601, 1502, 1241, 836, 425, 425, 425, 429, 118, 442, 1021, 1021, 1378, 1378, 1470, 1470, 1470, 874, 847, 521, 523, 594, 295, 213, 408, 715, 1043, 1903, 2156, 2143, 2157, 1721, 1917, 1079, 1000, 1055, 798, 495, 495, 215, 216, 230, 740, 1161, 1425, 1502, 1417, 1403, 1401, 1484, 724, 722, 428
23210, 248, 143, 151, 418, 509, 930, 923, 930, 828, 828, 827, 786, 786, 399, 441, 441, 296, 80, 80, 79, 234, 516, 877, 878, 823, 1215, 968, 787, 787, 558, 415, 451, 238, 82, 280, 289, 674, 904, 905, 906, 875, 771, 822, 813, 804, 796, 234, 234, 233, 199, 35, 220, 271, 633, 633, 583, 838, 892, 1110, 826, 781, 403, 403, 252, 251, 244, 84, 470, 641, 636, 821, 975, 1065, 1327, 1075, 882, 828, 684, 465, 240, 240, 240, 241, 72, 248, 565, 565, 762, 762, 812, 812, 812, 485, 470, 292, 293, 332, 169, 124, 230, 399, 578, 1049, 1185, 1180, 1186, 950, 1054, 598, 554, 584, 443, 277, 277, 124, 124, 133, 411, 641, 787, 828, 782, 773, 772, 820, 403, 402, 241
24223, 143, 86, 90, 236, 285, 515, 512, 515, 461, 461, 460, 437, 437, 225, 248, 248, 170, 52, 52, 52, 135, 289, 487, 487, 457, 673, 537, 437, 437, 312, 234, 253, 137, 53, 160, 165, 375, 501, 502, 502, 485, 428, 456, 452, 447, 442, 135, 135, 135, 116, 31, 127, 155, 353, 353, 326, 465, 495, 615, 459, 435, 227, 227, 145, 145, 141, 54, 264, 357, 354, 456, 541, 589, 733, 595, 490, 461, 381, 261, 139, 139, 139, 139, 48, 143, 316, 316, 424, 424, 451, 451, 451, 272, 264, 167, 167, 188, 100, 76, 133, 225, 323, 582, 656, 653, 657, 527, 584, 333, 310, 326, 249, 158, 158, 76, 76, 81, 232, 357, 437, 461, 436, 429, 429, 455, 227, 227, 139
25236, 86, 55, 57, 136, 163, 289, 286, 289, 259, 259, 259, 246, 246, 130, 143, 143, 100, 33, 33, 33, 82, 165, 274, 274, 257, 375, 301, 246, 246, 178, 135, 146, 83, 34, 94, 97, 212, 281, 282, 282, 272, 241, 256, 254, 251, 248, 82, 82, 82, 71, 31, 78, 92, 200, 200, 185, 261, 277, 343, 259, 245, 131, 131, 87, 87, 85, 35, 151, 202, 201, 256, 303, 330, 408, 332, 275, 259, 216, 150, 84, 84, 84, 84, 31, 86, 180, 180, 239, 239, 253, 253, 253, 155, 151, 98, 98, 111, 61, 50, 81, 130, 184, 325, 365, 364, 366, 295, 326, 189, 177, 185, 144, 93, 93, 50, 50, 53, 134, 202, 246, 259, 245, 241, 241, 256, 131, 131, 84
26251, 55, 36, 38, 82, 96, 165, 164, 165, 149, 149, 149, 142, 142, 79, 86, 86, 61, 31, 31, 31, 53, 97, 156, 156, 148, 212, 172, 142, 142, 105, 82, 87, 54, 31, 59, 60, 123, 161, 161, 161, 155, 139, 147, 147, 145, 143, 53, 53, 53, 48, 31, 51, 58, 117, 117, 109, 150, 158, 195, 149, 141, 80, 80, 56, 56, 55, 31, 90, 118, 118, 147, 173, 187, 230, 188, 157, 149, 124, 89, 54, 54, 54, 54, 31, 55, 106, 106, 138, 138, 146, 146, 146, 92, 90, 61, 61, 67, 42, 31, 53, 79, 109, 185, 207, 206, 208, 169, 185, 112, 104, 109, 86, 59, 59, 31, 31, 34, 81, 118, 142, 149, 141, 139, 139, 147, 80, 80, 54
27265, 36, 31, 31, 53, 60, 97, 97, 97, 89, 89, 89, 85, 85, 52, 55, 55, 42, 31, 31, 31, 34, 60, 92, 92, 88, 123, 101, 85, 85, 63, 53, 56, 35, 31, 40, 41, 75, 94, 94, 94, 92, 84, 88, 88, 87, 86, 34, 34, 34, 31, 31, 32, 39, 71, 71, 66, 89, 93, 115, 89, 85, 52, 52, 37, 37, 36, 31, 57, 72, 72, 88, 102, 110, 133, 111, 93, 89, 76, 57, 35, 35, 35, 35, 31, 36, 64, 64, 83, 83, 87, 87, 87, 58, 57, 42, 42, 46, 31, 31, 34, 52, 66, 109, 121, 120, 121, 100, 109, 68, 63, 66, 55, 40, 40, 31, 31, 31, 53, 72, 85, 89, 85, 84, 84, 88, 52, 52, 35
28277, 31, 31, 31, 34, 41, 60, 60, 60, 57, 57, 57, 55, 55, 33, 36, 36, 31, 31, 31, 31, 31, 41, 58, 58, 56, 75, 62, 55, 55, 44, 34, 37, 31, 31, 31, 31, 50, 59, 59, 59, 58, 54, 56, 56, 56, 55, 31, 31, 31, 31, 31, 31, 31, 48, 48, 45, 57, 59, 70, 57, 55, 33, 33, 31, 31, 31, 31, 38, 48, 48, 56, 62, 67, 81, 67, 59, 57, 50, 38, 31, 31, 31, 31, 31, 31, 44, 44, 54, 54, 56, 56, 56, 39, 38, 31, 31, 31, 31, 31, 31, 33, 45, 66, 74, 73, 74, 61, 66, 46, 44, 45, 36, 31, 31, 31, 31, 31, 34, 48, 55, 57, 55, 54, 54, 56, 33, 33, 31
29291, 31, 31, 31, 31, 31, 41, 41, 41, 38, 38, 38, 36, 36, 31, 31, 31, 31, 31, 31, 31, 31, 31, 39, 39, 37, 50, 43, 36, 36, 31, 31, 31, 31, 31, 31, 31, 31, 40, 40, 40, 39, 35, 37, 37, 37, 36, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 38, 40, 47, 38, 36, 31, 31, 31, 31, 31, 31, 31, 31, 31, 37, 43, 46, 53, 46, 40, 38, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 35, 35, 37, 37, 37, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 45, 49, 49, 49, 42, 45, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 36, 38, 36, 35, 35, 37, 31, 31, 31
30306, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 34, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31
31321, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31, 31
