Time (ms), Channel 0, Channel 1, Channel 2, Channel 3, Channel 4, Channel 5, Channel 6, Channel 7, Channel 8, Channel 9, Channel 10, Channel 11, Channel 12, Channel 13, Channel 14, Channel 15, Channel 16, Channel 17, Channel 18, Channel 19, Channel 20, Channel 21, Channel 22, Channel 23, Channel 24, Channel 25, Channel 26, Channel 27, Channel 28, Channel 29, Channel 30, Channel 31, Channel 32, Channel 33, Channel 34, Channel 35, Channel 36, Channel 37, Channel 38, Channel 39, Channel 40, Channel 41, Channel 42, Channel 43, Channel 44, Channel 45, Channel 46, Channel 47, Channel 48, Channel 49, Channel 50, Channel 51, Channel 52, Channel 53, Channel 54, Channel 55, Channel 56, Channel 57, Channel 58, Channel 59, Channel 60, Channel 61, Channel 62, Channel 63, Channel 64, Channel 65, Channel 66, Channel 67, Channel 68, Channel 69, Channel 70, Channel 71, Channel 72, Channel 73, Channel 74, Channel 75, Channel 76, Channel 77, Channel 78, Channel 79, Channel 80, Channel 81, Channel 82, Channel 83, Channel 84, Channel 85, Channel 86, Channel 87, Channel 88, Channel 89, Channel 90, Channel 91, Channel 92, Channel 93, Channel 94, Channel 95, Channel 96, Channel 97, Channel 98, Channel 99, Channel 100, Channel 101, Channel 102, Channel 103, Channel 104, Channel 105, Channel 106, Channel 107, Channel 108, Channel 109, Channel 110, Channel 111, Channel 112, Channel 113, Channel 114, Channel 115, Channel 116, Channel 117, Channel 118, Channel 119, Channel 120, Channel 121, Channel 122, Channel 123, Channel 124, Channel 125, Channel 126, Channel 127
4583, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5588, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6637, 2767, 2767, 2767, 2767, 2767, 1865, 1865, 2825, 2825, 2825, 2825, 2825, 1834, 2681, 2681, 1807, 1807, 2737, 2737, 2737, 1892, 1892, 1892, 1892, 1892, 1892, 931, 931, 931, 931, 1833, 1833, 2824, 2824, 2824, 2824, 3697, 3697, 3697, 2767, 2767, 2767, 1776, 1776, 1776, 2736, 2736, 1834, 1834, 2681, 2681, 2681, 2681, 2681, 1807, 1807, 2737, 2737, 2737, 2737, 2737, 2737, 2737, 1892, 931, 931, 931, 1833, 1833, 1833, 1833, 1833, 1833, 1833, 1833, 2706, 2706, 2706, 1776, 1776, 1776, 1776, 1776, 2736, 2736, 2736, 3582, 2681, 2681, 2681, 2681, 2681, 2681, 2681, 1807, 1807, 2737, 2737, 2737, 2737, 2737, 2737, 1777, 931, 931, 1833, 1833, 1833, 1833, 1833, 1833, 1833, 1833, 1833, 1833, 2706, 1776, 1776, 1776, 1776, 1776, 2736, 2736, 2736, 2736, 3582, 3582, 2681
7680, 3621, 2630, 3653, 4583, 4583, 4861, 4861, 5438, 5438, 4619, 4619, 3659, 4054, 4562, 4562, 4038, 4038, 4597, 4597, 4597, 4089, 4089, 4787, 4787, 3857, 3857, 2580, 4239, 2580, 3540, 4084, 4084, 4680, 4680, 3657, 4680, 4183, 4183, 5206, 4644, 4644, 4644, 3989, 4807, 4807, 5385, 4566, 4841, 4023, 4531, 5522, 5522, 5522, 5522, 4998, 4998, 5558, 7252, 6459, 6459, 5558, 5558, 5558, 4119, 3540, 3540, 3540, 4084, 4084, 4084, 4084, 4084, 4084, 4084, 4084, 4610, 4610, 4610, 4050, 4050, 4050, 3059, 3989, 4566, 4566, 4566, 5076, 4531, 4531, 4531, 4531, 4531, 4562, 5463, 4939, 5733, 6292, 5498, 5498, 6459, 6459, 5528, 4951, 4441, 4441, 4985, 4985, 4985, 4985, 4985, 4084, 4084, 4084, 4084, 4084, 4610, 4050, 4050, 4050, 4050, 4734, 4566, 4566, 4566, 4566, 5076, 5076, 4531
8727, 9308, 8711, 9327, 9887, 8864, 9031, 8130, 8476, 9349, 8038, 8038, 6739, 6976, 7282, 8127, 8773, 8773, 9109, 9109, 9109, 6940, 6940, 7360, 8105, 7543, 7543, 6776, 7536, 7356, 8866, 9283, 9283, 9642, 9642, 8283, 8897, 7754, 7754, 9270, 9923, 9923, 9923, 9529, 10020, 8096, 8446, 7953, 8172, 6959, 7264, 7860, 7860, 8706, 9666, 8360, 8360, 8696, 9717, 8367, 8367, 7823, 7823, 8568, 7702, 7354, 7354, 7473, 8499, 7538, 8260, 9283, 9283, 9283, 8438, 8438, 8011, 8011, 8912, 8575, 9566, 10359, 9765, 9300, 8745, 8745, 7927, 9108, 8058, 8058, 8058, 8903, 9018, 8045, 8587, 8271, 9595, 9057, 8581, 8581, 8367, 8367, 7805, 7459, 7151, 7970, 8529, 8529, 8529, 9552, 9552, 7926, 7692, 7692, 7692, 7692, 8011, 7674, 7674, 9368, 10359, 10772, 10669, 10669, 8745, 7927, 8235, 7512, 8058
9776, 5608, 5246, 6295, 6634, 6015, 6117, 5576, 5784, 6308, 5519, 4842, 4696, 4837, 5024, 6187, 6576, 6576, 6780, 6780, 6123, 4817, 4817, 5071, 5518, 5179, 5179, 4718, 5176, 5068, 5977, 6227, 6227, 6444, 6444, 5626, 5994, 5307, 5307, 6220, 6612, 7290, 7290, 6417, 6713, 5555, 5766, 5469, 5601, 4870, 5053, 4737, 4737, 5243, 5822, 6327, 6327, 6529, 7145, 6332, 5676, 5349, 5349, 5797, 5275, 5067, 5067, 5137, 5756, 5177, 5611, 5590, 5590, 5590, 5082, 5082, 4827, 4827, 5368, 5166, 5763, 6239, 5882, 5602, 5269, 5269, 4775, 5487, 4856, 4856, 4856, 5363, 5433, 5503, 5828, 5639, 6434, 6111, 5826, 5826, 5696, 5696, 4704, 5130, 4945, 5437, 5773, 5773, 5773, 6388, 5754, 4775, 4635, 4635, 4635, 4635, 4827, 4623, 4623, 5643, 6239, 6487, 6427, 6427, 5269, 4775, 4961, 4526, 4856
10823, 3381, 3163, 3795, 3999, 3627, 3687, 3361, 3487, 3801, 3328, 2918, 2832, 2914, 3029, 3728, 3964, 3964, 4087, 4087, 3690, 2906, 2906, 3057, 3327, 3124, 3124, 2847, 3122, 3056, 3604, 3754, 3754, 3882, 3882, 3391, 3612, 3201, 3201, 3751, 3986, 4394, 4394, 3868, 4046, 3349, 3475, 3299, 3376, 2938, 3046, 2856, 2856, 3161, 3510, 3813, 3813, 3935, 4307, 3817, 3421, 3225, 3225, 3494, 3180, 3056, 3056, 3097, 3469, 3123, 3383, 3370, 4216, 4216, 3909, 3064, 2912, 2912, 3236, 3114, 3473, 3759, 3546, 3377, 3177, 3177, 2880, 3308, 2928, 2928, 2928, 3231, 3276, 3317, 3514, 3399, 3876, 3683, 3513, 3513, 3434, 3434, 2837, 3094, 2981, 3278, 3479, 3479, 3479, 3850, 3468, 2880, 2794, 2794, 2794, 2794, 2912, 2789, 2789, 3403, 3759, 3908, 3875, 3875, 3177, 2880, 2991, 2730, 2928
11871, 2039, 1911, 2289, 2411, 2189, 2224, 2029, 2104, 2293, 2009, 1763, 1711, 1759, 1830, 2251, 2390, 2390, 2464, 2464, 2227, 1753, 1753, 1846, 2009, 1887, 1887, 1720, 1886, 1845, 2173, 2263, 2263, 2342, 2342, 2047, 2181, 1932, 1932, 2263, 2405, 2649, 2649, 2334, 2440, 2021, 2098, 1991, 2038, 1775, 1838, 1723, 1723, 1909, 2119, 2300, 2300, 2374, 2597, 2303, 2065, 1948, 1948, 2108, 1920, 1845, 1845, 1869, 2094, 1887, 2041, 2035, 2542, 2542, 2357, 1851, 1758, 1758, 1953, 1880, 2096, 2268, 2140, 2038, 1918, 1918, 1740, 1995, 1769, 1769, 1769, 1951, 1976, 2002, 2121, 2052, 2337, 2222, 2120, 2120, 2073, 2073, 1714, 1867, 1800, 1978, 2101, 2101, 2101, 2323, 2093, 1740, 1688, 1688, 1688, 1688, 1758, 1685, 1685, 2053, 2268, 2357, 2336, 2336, 1918, 1740, 1804, 1648, 1769
12915, 1232, 1156, 1382, 1457, 1323, 1343, 1228, 1271, 1385, 1215, 1067, 1036, 1065, 1107, 1360, 1445, 1445, 1488, 1488, 1346, 1061, 1061, 1117, 1215, 1142, 1142, 1042, 1142, 1116, 1314, 1368, 1368, 1416, 1416, 1238, 1318, 1169, 1169, 1368, 1453, 1601, 1601, 1411, 1473, 1222, 1270, 1204, 1232, 1075, 1112, 1043, 1043, 1156, 1281, 1391, 1391, 1435, 1567, 1394, 1249, 1178, 1178, 1275, 1161, 1116, 1116, 1131, 1267, 1142, 1234, 1231, 1536, 1536, 1425, 1120, 1064, 1064, 1181, 1138, 1269, 1371, 1294, 1232, 1160, 1160, 1053, 1207, 1071, 1071, 1071, 1180, 1194, 1211, 1282, 1240, 1412, 1342, 1281, 1281, 1254, 1254, 1038, 1130, 1088, 1196, 1271, 1271, 1271, 1403, 1266, 1053, 1021, 1021, 1021, 1021, 1064, 1020, 1020, 1241, 1371, 1425, 1412, 1412, 1160, 1053, 1092, 997, 1071
13963, 2671, 2626, 3754, 3797, 3716, 2708, 1736, 1762, 1832, 1730, 1640, 1621, 1638, 1664, 822, 874, 1834, 1862, 1862, 1777, 1603, 1603, 1639, 1699, 1654, 694, 1563, 2647, 2632, 2749, 2782, 2782, 2811, 2811, 2702, 2721, 2633, 2633, 2753, 2802, 3884, 3884, 3769, 3809, 2757, 1762, 1720, 1738, 1644, 1668, 1625, 1625, 1693, 1767, 1804, 1804, 1831, 1910, 1806, 1717, 1676, 1676, 1732, 1663, 1639, 679, 2638, 2722, 2647, 2701, 2700, 2883, 2883, 2818, 2604, 2570, 2570, 2642, 3606, 3686, 3746, 3701, 3662, 1694, 1694, 2504, 2596, 2514, 2514, 2514, 2581, 2588, 3559, 2609, 2583, 2688, 1775, 1736, 1736, 1722, 1722, 1591, 1644, 1621, 725, 1701, 2724, 2724, 2801, 2722, 2593, 2573, 2573, 2573, 2544, 2570, 3535, 3535, 3666, 3746, 3780, 2747, 1846, 1694, 2504, 2525, 2469, 2514
